rank,level,female_ratio,country
46,All Positions,33.762058,Australia
46,Entry Level,50,Australia
46,Senior Level,27.659575,Australia
47,All Positions,23.753666,United States of America
47,Entry Level,30.476191,United States of America
47,Senior Level,26.086956,United States of America
48,All Positions,21.73913,United States of America
48,Entry Level,38.46154,United States of America
48,Senior Level,18.055555,United States of America
49,All Positions,25.853659,France
49,Senior Level,17.241379,France
50,All Positions,22.5,United Kingdom of Great Britain and Northern Ireland
50,Entry Level,45.454544,United Kingdom of Great Britain and Northern Ireland
50,Senior Level,16.32653,United Kingdom of Great Britain and Northern Ireland
51,All Positions,23.125,Canada
51,Entry Level,24.137932,Canada
51,Senior Level,22.580645,Canada
52,All Positions,33.442623,Australia
52,Entry Level,36.496349,Australia
52,Senior Level,29.166666,Australia
53,All Positions,28.352489,Netherlands
53,Entry Level,36.666668,Netherlands
53,Senior Level,15.384615,Netherlands
54,All Positions,26.923077,United States of America
54,Entry Level,31.818182,United States of America
54,Senior Level,27.272728,United States of America
55,All Positions,20.19544,United States of America
55,Entry Level,28.40909,United States of America
55,Senior Level,15.966387,United States of America
56,All Positions,27.935223,Italy
56,Entry Level,35.714287,Italy
56,Senior Level,24.358974,Italy
57,All Positions,21.428572,United Kingdom of Great Britain and Northern Ireland
57,Entry Level,27.777779,United Kingdom of Great Britain and Northern Ireland
57,Senior Level,13.043478,United Kingdom of Great Britain and Northern Ireland
58,All Positions,33.802818,Germany
58,Senior Level,15.384615,Germany
59,All Positions,14.285714,Belgium
59,Senior Level,15.789474,Belgium
60,All Positions,29.133858,United Kingdom of Great Britain and Northern Ireland
60,Entry Level,30,United Kingdom of Great Britain and Northern Ireland
60,Senior Level,22.5,United Kingdom of Great Britain and Northern Ireland
61,All Positions,18.867924,United States of America
61,Entry Level,60,United States of America
61,Senior Level,11.764706,United States of America
62,All Positions,40.689655,United Kingdom of Great Britain and Northern Ireland
62,Entry Level,42,United Kingdom of Great Britain and Northern Ireland
62,Senior Level,27.868853,United Kingdom of Great Britain and Northern Ireland
63,All Positions,28.813559,Australia
63,Entry Level,34.693878,Australia
63,Senior Level,10.638298,Australia
64,All Positions,26.851852,United States of America
64,Entry Level,20,United States of America
64,Senior Level,19.444445,United States of America
66,All Positions,28.461538,United States of America
66,Entry Level,43.75,United States of America
66,Senior Level,19.642857,United States of America
67,All Positions,58.203125,Romania
67,Entry Level,70.909088,Romania
67,Senior Level,54.838711,Romania
68,All Positions,19.545454,Denmark
68,Entry Level,27.272728,Denmark
68,Senior Level,10.909091,Denmark
69,All Positions,30.844156,Sweden
69,Entry Level,43.18182,Sweden
69,Senior Level,22.5,Sweden
70,All Positions,27.435898,Norway
70,Entry Level,25.423729,Norway
70,Senior Level,24.418604,Norway
71,All Positions,18.421053,United States of America
71,Entry Level,26.086956,United States of America
71,Senior Level,14.084507,United States of America
72,All Positions,22.872341,Denmark
72,Entry Level,30.30303,Denmark
72,Senior Level,21.875,Denmark
73,All Positions,26.31579,United Kingdom of Great Britain and Northern Ireland
73,Entry Level,40,United Kingdom of Great Britain and Northern Ireland
73,Senior Level,24.285715,United Kingdom of Great Britain and Northern Ireland
74,All Positions,37.878788,Italy
74,Senior Level,35.227272,Italy
75,All Positions,31.979696,France
75,Entry Level,33.333332,France
75,Senior Level,21.428572,France
76,All Positions,32.627117,Switzerland
76,Entry Level,20,Switzerland
76,Senior Level,10,Switzerland
77,All Positions,19.387754,United States of America
77,Entry Level,26.31579,United States of America
77,Senior Level,16.32653,United States of America
78,All Positions,22.44898,Czechia
78,Entry Level,38.888889,Czechia
78,Senior Level,10,Czechia
79,All Positions,13.414634,Germany
79,Entry Level,22.222221,Germany
79,Senior Level,7.1428571,Germany
80,All Positions,26.470589,Norway
80,Entry Level,38.46154,Norway
80,Senior Level,17.391304,Norway
81,All Positions,32.882881,Italy
81,Entry Level,37.209301,Italy
81,Senior Level,29.67033,Italy
82,All Positions,32.307693,United States of America
82,Entry Level,30.76923,United States of America
82,Senior Level,19.23077,United States of America
83,All Positions,27.160494,Australia
83,Entry Level,16,Australia
83,Senior Level,21.73913,Australia
84,All Positions,6.7567568,Netherlands
84,Senior Level,6.7567568,Netherlands
85,All Positions,33.974358,United States of America
85,Entry Level,39.130436,United States of America
85,Senior Level,14.285714,United States of America
86,All Positions,36.923077,Australia
86,Entry Level,50,Australia
86,Senior Level,20,Australia
87,All Positions,33.22884,Sweden
87,Entry Level,27.027027,Sweden
87,Senior Level,28.695652,Sweden
88,All Positions,32.994923,France
88,Entry Level,53.703705,France
88,Senior Level,26.666666,France
89,All Positions,18.75,United States of America
89,Entry Level,41.666668,United States of America
89,Senior Level,11.428572,United States of America
90,All Positions,25,Germany
90,Entry Level,0,Germany
90,Senior Level,26.666666,Germany
91,All Positions,18.181818,Germany
91,Entry Level,36.363636,Germany
91,Senior Level,15.094339,Germany
92,All Positions,28.395061,Canada
92,Entry Level,46.875,Canada
92,Senior Level,23.943663,Canada
93,All Positions,29.577465,United States of America
93,Entry Level,37.5,United States of America
93,Senior Level,28.571428,United States of America
94,All Positions,35.50296,France
94,Entry Level,33.333332,France
94,Senior Level,47.36842,France
95,All Positions,66.666664,Romania
95,Senior Level,50,Romania
96,All Positions,12.658228,Netherlands
96,Senior Level,14.0625,Netherlands
97,All Positions,43.902439,United States of America
97,Entry Level,30.76923,United States of America
97,Senior Level,33.766235,United States of America
98,All Positions,41.176472,Australia
98,Entry Level,45.192307,Australia
98,Senior Level,27.868853,Australia
99,All Positions,38.819878,Spain
99,Entry Level,38.235294,Spain
99,Senior Level,39.430893,Spain
100,All Positions,23.68421,United States of America
100,Entry Level,42.553192,United States of America
100,Senior Level,20.895523,United States of America
101,All Positions,22.857143,United States of America
101,Entry Level,33.333332,United States of America
101,Senior Level,8.5714283,United States of America
102,All Positions,31.578947,United States of America
102,Senior Level,15,United States of America
103,All Positions,25.757576,United Kingdom of Great Britain and Northern Ireland
103,Entry Level,25,United Kingdom of Great Britain and Northern Ireland
103,Senior Level,25,United Kingdom of Great Britain and Northern Ireland
104,All Positions,32.07547,United States of America
104,Entry Level,45.454544,United States of America
104,Senior Level,17.647058,United States of America
105,All Positions,18.75,United States of America
105,Entry Level,25,United States of America
105,Senior Level,17.5,United States of America
106,All Positions,19.444445,United States of America
106,Senior Level,18.75,United States of America
107,All Positions,38.888889,United Kingdom of Great Britain and Northern Ireland
107,Entry Level,36.842106,United Kingdom of Great Britain and Northern Ireland
107,Senior Level,25.925926,United Kingdom of Great Britain and Northern Ireland
108,All Positions,52.222221,France
108,Entry Level,70.909088,France
108,Senior Level,21.212122,France
109,All Positions,39.795918,United Kingdom of Great Britain and Northern Ireland
109,Entry Level,46.226414,United Kingdom of Great Britain and Northern Ireland
109,Senior Level,25.757576,United Kingdom of Great Britain and Northern Ireland
110,All Positions,24.050632,Spain
110,Entry Level,25,Spain
110,Senior Level,21.052631,Spain
111,All Positions,39.820358,Australia
111,Entry Level,40.869564,Australia
111,Senior Level,25,Australia
112,All Positions,36.312851,Sweden
112,Entry Level,36.363636,Sweden
112,Senior Level,21.875,Sweden
113,All Positions,20.370371,Canada
113,Entry Level,26.666666,Canada
113,Senior Level,20,Canada
114,All Positions,36.391438,Denmark
114,Entry Level,42.857143,Denmark
114,Senior Level,32.365147,Denmark
115,All Positions,30.851065,Switzerland
115,Entry Level,20,Switzerland
115,Senior Level,30.232557,Switzerland
116,All Positions,20.588236,United States of America
116,Entry Level,20,United States of America
116,Senior Level,27.272728,United States of America
117,All Positions,37.64706,France
117,Entry Level,37.5,France
117,Senior Level,39.285713,France
118,All Positions,47.36842,China
118,Senior Level,33.333332,China
119,All Positions,37.037037,United States of America
119,Entry Level,37.5,United States of America
119,Senior Level,36.842106,United States of America
120,All Positions,39.215687,Italy
120,Entry Level,85.714287,Italy
120,Senior Level,28.571428,Italy
121,All Positions,27,Switzerland
121,Entry Level,25,Switzerland
121,Senior Level,8.695652,Switzerland
122,All Positions,20.869566,Canada
122,Entry Level,23.809525,Canada
122,Senior Level,23.076923,Canada
123,All Positions,26.168224,United Kingdom of Great Britain and Northern Ireland
123,Entry Level,32.432434,United Kingdom of Great Britain and Northern Ireland
123,Senior Level,24.590164,United Kingdom of Great Britain and Northern Ireland
124,All Positions,22.727272,Switzerland
124,Senior Level,23.076923,Switzerland
125,All Positions,33.678757,Austria
125,Entry Level,48.837208,Austria
125,Senior Level,29.333334,Austria
126,All Positions,30.483271,United States of America
126,Entry Level,45.599998,United States of America
126,Senior Level,20.689655,United States of America
127,All Positions,38.823528,Singapore
127,Entry Level,35,Singapore
127,Senior Level,15.789474,Singapore
128,All Positions,19.565218,Germany
128,Entry Level,43.75,Germany
128,Senior Level,14.473684,Germany
129,All Positions,43.030304,Belgium
129,Senior Level,45.098038,Belgium
130,All Positions,12.903226,Netherlands
131,All Positions,21.854305,United States of America
131,Entry Level,19.23077,United States of America
131,Senior Level,15.384615,United States of America
132,All Positions,49.315067,Netherlands
132,Senior Level,16.666666,Netherlands
133,All Positions,28.735632,United States of America
133,Entry Level,28.571428,United States of America
133,Senior Level,21.052631,United States of America
134,All Positions,26.666666,United Kingdom of Great Britain and Northern Ireland
134,Entry Level,28.571428,United Kingdom of Great Britain and Northern Ireland
134,Senior Level,14.285714,United Kingdom of Great Britain and Northern Ireland
135,All Positions,25.688074,United States of America
135,Entry Level,28.571428,United States of America
135,Senior Level,14.285714,United States of America
136,All Positions,20.175438,France
136,Entry Level,12.5,France
136,Senior Level,21.25,France
137,All Positions,21.118011,United States of America
137,Entry Level,25.316456,United States of America
137,Senior Level,20.967741,United States of America
138,All Positions,28.571428,United States of America
138,Entry Level,14.285714,United States of America
138,Senior Level,20,United States of America
139,All Positions,27.586206,United States of America
139,Entry Level,34.782608,United States of America
139,Senior Level,10.526316,United States of America
140,All Positions,41.666668,United States of America
140,Entry Level,48.484848,United States of America
140,Senior Level,26.923077,United States of America
141,All Positions,37.288136,United Kingdom of Great Britain and Northern Ireland
141,Entry Level,39.473682,United Kingdom of Great Britain and Northern Ireland
141,Senior Level,38,United Kingdom of Great Britain and Northern Ireland
142,All Positions,42.079208,France
142,Entry Level,46.896553,France
142,Senior Level,34.615383,France
143,All Positions,27.62431,United States of America
143,Entry Level,18.181818,United States of America
143,Senior Level,21.428572,United States of America
144,All Positions,32.58427,United States of America
144,Entry Level,45.833332,United States of America
144,Senior Level,30,United States of America
145,All Positions,25,Spain
145,Senior Level,18.75,Spain
146,All Positions,6.9767442,Japan
146,Senior Level,6.9767442,Japan
148,All Positions,29.523809,Sweden
148,Entry Level,13.333333,Sweden
148,Senior Level,21.052631,Sweden
149,All Positions,21.153847,Italy
150,All Positions,5.7142859,Israel
150,Senior Level,10.526316,Israel
151,All Positions,21.428572,Germany
151,Entry Level,37.5,Germany
151,Senior Level,21.052631,Germany
152,All Positions,24,United Kingdom of Great Britain and Northern Ireland
152,Entry Level,25,United Kingdom of Great Britain and Northern Ireland
152,Senior Level,23.809525,United Kingdom of Great Britain and Northern Ireland
153,All Positions,34.459461,Germany
153,Entry Level,44.444443,Germany
153,Senior Level,20.63492,Germany
154,All Positions,10.810811,Israel
154,Senior Level,12.5,Israel
155,All Positions,31.578947,Sweden
155,Entry Level,25,Sweden
155,Senior Level,16.666666,Sweden
156,All Positions,37.106918,Italy
156,Entry Level,58.333332,Italy
156,Senior Level,37.878788,Italy
157,All Positions,22.012579,Greece
157,Entry Level,25.490196,Greece
157,Senior Level,19.626167,Greece
158,All Positions,39.908257,France
158,Entry Level,46.42857,France
158,Senior Level,31.73077,France
159,All Positions,40.17094,Poland
159,Entry Level,40.697674,Poland
159,Senior Level,38.709679,Poland
160,All Positions,30.06135,Austria
160,Entry Level,31.818182,Austria
160,Senior Level,28.571428,Austria
161,All Positions,36.120399,United Kingdom of Great Britain and Northern Ireland
161,Entry Level,38.732395,United Kingdom of Great Britain and Northern Ireland
161,Senior Level,22.222221,United Kingdom of Great Britain and Northern Ireland
162,All Positions,30.90909,United Kingdom of Great Britain and Northern Ireland
162,Entry Level,33.333332,United Kingdom of Great Britain and Northern Ireland
162,Senior Level,14.285714,United Kingdom of Great Britain and Northern Ireland
163,All Positions,25,United States of America
163,Entry Level,37.5,United States of America
163,Senior Level,21.73913,United States of America
164,All Positions,32.954544,United States of America
164,Entry Level,37.5,United States of America
164,Senior Level,17.142857,United States of America
165,All Positions,42.372883,Ireland
165,Entry Level,66.666664,Ireland
165,Senior Level,27.272728,Ireland
166,All Positions,51.219513,Italy
166,Entry Level,75,Italy
166,Senior Level,45.945946,Italy
167,All Positions,20.930233,Germany
167,Senior Level,19.23077,Germany
168,All Positions,26.31579,Brazil
169,All Positions,44.186047,Portugal
169,Entry Level,25.714285,Portugal
169,Senior Level,42.105263,Portugal
170,All Positions,36.470589,Italy
170,Entry Level,56.52174,Italy
170,Senior Level,29.032259,Italy
171,All Positions,20,Canada
171,Entry Level,44.444443,Canada
171,Senior Level,16.666666,Canada
172,All Positions,24.705883,United Kingdom of Great Britain and Northern Ireland
172,Entry Level,31.25,United Kingdom of Great Britain and Northern Ireland
172,Senior Level,6.060606,United Kingdom of Great Britain and Northern Ireland
173,All Positions,37.5,Italy
173,Entry Level,61.53846,Italy
173,Senior Level,37.777779,Italy
174,All Positions,19.354839,United States of America
174,Entry Level,14.285714,United States of America
174,Senior Level,25,United States of America
175,All Positions,43.049328,United States of America
175,Entry Level,33.333332,United States of America
175,Senior Level,31.460674,United States of America
176,All Positions,26.530613,United States of America
176,Entry Level,75,United States of America
176,Senior Level,3.8461537,United States of America
177,All Positions,34.939758,United Kingdom of Great Britain and Northern Ireland
177,Entry Level,18.181818,United Kingdom of Great Britain and Northern Ireland
177,Senior Level,30,United Kingdom of Great Britain and Northern Ireland
178,All Positions,35.682819,United Kingdom of Great Britain and Northern Ireland
178,Entry Level,42.857143,United Kingdom of Great Britain and Northern Ireland
178,Senior Level,33.128834,United Kingdom of Great Britain and Northern Ireland
179,All Positions,29.166666,United States of America
179,Entry Level,50,United States of America
179,Senior Level,27.272728,United States of America
180,All Positions,39.166668,Luxembourg
180,Senior Level,17.948717,Luxembourg
181,All Positions,35.099339,United States of America
181,Entry Level,53.125,United States of America
181,Senior Level,26.190475,United States of America
182,All Positions,40,Italy
182,Senior Level,33.333332,Italy
183,All Positions,20.238094,United States of America
183,Entry Level,11.111111,United States of America
183,Senior Level,28.571428,United States of America
184,All Positions,20.588236,United States of America
184,Entry Level,25.925926,United States of America
184,Senior Level,13.333333,United States of America
185,All Positions,21.621622,Germany
185,Entry Level,20,Germany
185,Senior Level,21.875,Germany
186,All Positions,30.120481,Germany
186,Entry Level,42.857143,Germany
186,Senior Level,21.052631,Germany
187,All Positions,31.337326,Norway
187,Entry Level,33.333332,Norway
187,Senior Level,28.514057,Norway
188,All Positions,48.387096,Sweden
188,Senior Level,28.571428,Sweden
189,All Positions,21.428572,Colombia
189,Entry Level,12.5,Colombia
189,Senior Level,24.242424,Colombia
190,All Positions,26.168224,United States of America
190,Entry Level,10,United States of America
190,Senior Level,18.75,United States of America
191,All Positions,19.354839,Czechia
191,Entry Level,28.571428,Czechia
191,Senior Level,3.4482758,Czechia
192,All Positions,25,Austria
192,Entry Level,11.111111,Austria
192,Senior Level,30.76923,Austria
193,All Positions,20.588236,Canada
193,Entry Level,14.285714,Canada
193,Senior Level,22.222221,Canada
194,All Positions,31.111111,United Kingdom of Great Britain and Northern Ireland
194,Entry Level,33.333332,United Kingdom of Great Britain and Northern Ireland
194,Senior Level,23.809525,United Kingdom of Great Britain and Northern Ireland
195,All Positions,33.333332,China
195,Senior Level,37.5,China
196,All Positions,19.607843,Hungary
196,Senior Level,6.25,Hungary
197,All Positions,26.470589,United Arab Emirates
197,Entry Level,30,United Arab Emirates
197,Senior Level,7.1428571,United Arab Emirates
198,All Positions,38.636364,New Zealand
198,Entry Level,53.658535,New Zealand
198,Senior Level,24.390244,New Zealand
199,All Positions,17.857143,Switzerland
199,Entry Level,15.384615,Switzerland
199,Senior Level,12.5,Switzerland
200,All Positions,42.708332,Germany
200,Senior Level,23.636364,Germany
201,All Positions,40.909092,France
201,Entry Level,46.153847,France
201,Senior Level,33.333332,France
202,All Positions,46.816479,Spain
202,Entry Level,53.333332,Spain
202,Senior Level,45.161289,Spain
203,All Positions,33.57016,United States of America
203,Entry Level,44.444443,United States of America
203,Senior Level,30.113636,United States of America
204,All Positions,31.578947,Ireland
204,Entry Level,25,Ireland
204,Senior Level,50,Ireland
205,All Positions,34.177216,United States of America
205,Entry Level,25,United States of America
205,Senior Level,37.5,United States of America
206,All Positions,29.05983,United States of America
206,Entry Level,37.5,United States of America
206,Senior Level,29.629629,United States of America
207,All Positions,17.874395,Greece
207,Entry Level,20.408163,Greece
207,Senior Level,18.253969,Greece
208,All Positions,29.166666,United States of America
208,Entry Level,28.225807,United States of America
208,Senior Level,26.666666,United States of America
209,All Positions,31.578947,Canada
209,Entry Level,37.037037,Canada
209,Senior Level,31.746031,Canada
210,All Positions,27.659575,Germany
210,Entry Level,44.444443,Germany
210,Senior Level,22.727272,Germany
211,All Positions,18.965517,United States of America
211,Entry Level,45.454544,United States of America
211,Senior Level,8,United States of America
212,All Positions,28.395061,United States of America
212,Entry Level,18.75,United States of America
212,Senior Level,13.636364,United States of America
213,All Positions,23.076923,Sweden
213,Entry Level,33.333332,Sweden
213,Senior Level,20,Sweden
214,All Positions,60.625,South Africa
214,Entry Level,64.545456,South Africa
214,Senior Level,57.777779,South Africa
215,All Positions,43.939392,France
215,Entry Level,50,France
215,Senior Level,36,France
216,All Positions,23.71134,Switzerland
216,Entry Level,20.689655,Switzerland
216,Senior Level,30.76923,Switzerland
217,All Positions,28.030304,United States of America
217,Entry Level,41.860466,United States of America
217,Senior Level,27.083334,United States of America
218,All Positions,26.086956,China
218,Entry Level,35.384617,China
218,Senior Level,18.571428,China
219,All Positions,13.333333,Chile
219,Entry Level,17.647058,Chile
219,Senior Level,12,Chile
220,All Positions,34.426231,Portugal
220,Entry Level,35.772358,Portugal
220,Senior Level,31.914894,Portugal
221,All Positions,33.333332,Singapore
222,All Positions,31.325302,United States of America
222,Entry Level,45,United States of America
222,Senior Level,34.615383,United States of America
223,All Positions,29.787233,United Kingdom of Great Britain and Northern Ireland
223,Entry Level,33.766235,United Kingdom of Great Britain and Northern Ireland
223,Senior Level,25.842697,United Kingdom of Great Britain and Northern Ireland
224,All Positions,35.294117,United States of America
224,Entry Level,44.615383,United States of America
224,Senior Level,26.785715,United States of America
225,All Positions,31.111111,United States of America
225,Entry Level,27.777779,United States of America
225,Senior Level,35,United States of America
226,All Positions,41.935482,Poland
226,Senior Level,42.857143,Poland
227,All Positions,40.548782,Canada
227,Senior Level,41.785713,Canada
228,All Positions,27.338129,United States of America
228,Entry Level,19.047619,United States of America
228,Senior Level,10,United States of America
229,All Positions,31.060606,France
229,Entry Level,35.483871,France
229,Senior Level,15.789474,France
230,All Positions,25.373135,Italy
230,Entry Level,53.846153,Italy
230,Senior Level,18.518518,Italy
231,All Positions,19.354839,Italy
231,Entry Level,25,Italy
231,Senior Level,19.047619,Italy
232,All Positions,34.945053,Australia
232,Entry Level,36.666668,Australia
232,Senior Level,35.652172,Australia
233,All Positions,28.571428,Canada
233,Entry Level,10,Canada
233,Senior Level,38.888889,Canada
234,All Positions,22.222221,United States of America
234,Entry Level,34.482758,United States of America
234,Senior Level,21.333334,United States of America
235,All Positions,42.711864,Italy
235,Entry Level,50,Italy
235,Senior Level,44.186047,Italy
236,All Positions,32.478634,France
236,Entry Level,40,France
236,Senior Level,25,France
237,All Positions,10,Germany
237,Senior Level,0,Germany
238,All Positions,38.805969,Italy
238,Entry Level,46.031746,Italy
238,Senior Level,38.709679,Italy
